CPI_CODE,Name,Access_year,Access_month,Access_day,Start_year,Start_month,Start_day,End_year,End_month,End_day,Report_year,Report_month,Report_day,Name,Dyad,Ongoing_military_confrontation,Type_of_dispute,Geopolitical_setting,Name,Attacker_jurisdiction,Attacker_jurisdiction_II,Attacking_entity,Involved_proxy,Involved_individuals,Nuclear_capability,Accountability_index,Foreign_Direct_Investment_ranking,GDP_rank,GGE,OSCE,ASEAN,OAS,SCO,LAS,G7,G20,attacker_Existence_of_cyber_command,Target_jurisdiction,Target_jurisdiction_II,Target_entity,Internet_infrastructure,Government,Commercial,State_owned,Individuals_targeted,CI_Sector,CI_Sector_II,CI_Sector_III,Nuclear_capability,Accountability_index,Foreign_Direct_Investment_ranking,GDP_rank,GGE,OSCE,ASEAN,OAS,SCO,LAS,G7,G20,Existence_of_cyber_command,Name,Initial_access_(MITRE_ATT&CK_for_Enterprise),Initial_access_(MITRE_ATT&CK_for_ICS),Impact_(MITRE_ATT&CK_for_Enterprise),Additional_Impact_(MITRE_ATT&CK_for_Enterprise),Impact_(MITRE_ATT&CK_for_ICS),Name,Infosec_effect,US_military_effects,Physical_effect,Corporate_downtime,Estimated_loss_(m_USD)
2007-001,Estonia 2007,not applicable,not applicable,not applicable,2007,4,27,2007,5,18,2007,4,27,Estonia 2007,Estonia-Russia,no,ideological,bilateral,Estonia 2007,Russia,no,unknown,Nashi,Konstantin Goloskokov,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,no,Estonia,no,Multiple,yes,yes,yes,no,no,Finance, Media,Public online services,no,90,83,100,yes,yes,no,no,no,no,no,no,no,Estonia 2007,not applicable,not applicable,Denial of service,Defacement,not applicable,Estonia 2007,Availability,disruption,no,hours,unknown
2008-001,Georgia 2008,not applicable,not applicable,not applicable,2008,7,20,2008,8,28,2008,8,11,Georgia 2008,Georgia-Russia,active,territorial,regional balance of power,Georgia 2008,Russia,no,unknown,no,N/A,yes,19,30,11,yes,yes,no,no,yes,no,no,yes,no,Georgia,no,Multiple,no,yes,yes,no,no,Finance,Media,Government communications,no,56,84,120,no,yes,no,no,no,no,no,no,no,Georgia 2008,not applicable,not applicable,Denial of service,Defacement,not applicable,Georgia 2008,Availability,disruption,no,hours,unknown
2009-001,Fourth of July,not applicable,not applicable,not applicable,2009,7,4,2009,7,10,2009,7,4,Fourth of July,North Korea-United States,frozen,ideological,regional balance of power,Fourth of July,North Korea,no,Lazarus Group,Lazarus Group,N/A,yes,not available,151,99,no,no,no,no,no,no,no,no,yes ,United States,South Korea,Multiple,no,yes,no,no,no,Finance,Media,Public online services,yes,81,1,1,yes,yes,no,yes,no,no,yes,yes,yes,Fourth of July,not applicable,not applicable,Denial of service,not applicable,not applicable,Fourth of July,Integrity/Availability,disruption,no,hours,30
2010-001,Stuxnet,2009,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2010,7,15,Stuxnet,Iran-United States,latent,ideological,regional balance of power,Stuxnet,United States,Israel,Cyber Command,no,N/A,yes,81,1,1,yes,yes,no,yes,no,no,yes,yes,yes,Iran,Qatar,Iran's Nuclear Program,no,yes,no,no,no,Nuclear,no,no,under development,13,49,26,no ,no,no,no,observer,no,no,no,yes,Stuxnet,not applicable,Replication through removable media,not applicable,not applicable,Damage to property,Stuxnet,Integrity,manipulation,yes,not applicable,unknown
2011-001,Ten Days of Rain,not applicable,not applicable,not applicable,2011,3,4,2011,3,14,2011,3,4,Ten Days of Rain,North Korea-South Korea,frozen,ideological,bilateral,Ten Days of Rain,North Korea,no,unknown,Lazarus Group,N/A,yes,not available,151,99,no,no,no,no,no,no,no,no,yes,South Korea,no,Multiple,no,yes,yes,no,no,Finance,Government communications,no,no,69,21,12,yes,no,no,no,no,no,no,yes,no ,Ten Days of Rain,not applicable,not applicable,Denial of service,not applicable,not applicable,Ten Days of Rain,Availability,disruption,no,hours,7
2012-001,Shamoon,2012,unknown,unknown,2012,8,15,2012,9,unknown,2012,8,15,Shamoon,Iran-United States,latent,ideological,regional balance of power,Shamoon,Iran,no,unknown,Cutting Sword of Justice,N/A,under development,13,49,26,no,no,no,no,observer,no,no,no,yes,Saudi Arabia,no,Saudi Arabian Oil Company ,no,no,yes,yes,no,Petrochemical ,no,no,no,6,46,18,no ,no,no,no,no,yes,no,yes,no ,Shamoon,Phishing,not applicable,Disk wipe,not applicable,not applicable,Shamoon,Integrity/Availability,destruction,no,days,unknown
2012-002,DDoS on US Banks,not applicable,not applicable,not applicable,2011,12,unknown,2013,5,unknown,2012,unknown,unknown,DDoS on US Banks,Iran-United States,latent,ideological,regional balance of power,DDoS on US Banks,Iran,no,unknown,Izz ad-Din al-Qassam,seven individuals indicted,under development,13,49,26,no,no,no,no,observer,no,no,no,yes,United States,no,Multiple,no,no,yes,no,no,Finance,no,no,yes,83,1,1,yes,yes,no,yes,no,no,yes,yes,yes,DDoS on US Banks,not applicable,not applicable,Denial of service,not applicable,not applicable,DDoS on US Banks,Availability,disruption,no,months,10
2013-001,DarkSeoul,2013,unknown,unknown,2013,1,26,2013,3,20,2013,3,20,DarkSeoul,North Korea-South Korea,frozen,ideological,bilateral,DarkSeoul,North Korea,no,Reconnaissance General Bureau,no,N/A,yes,not available,151,99,no ,no,no,no,no,no,no,no,yes,South Korea,no,Multiple,no,no,yes,no,no,Finance,Broadcast,no,no,69,21,12,yes,no,no,no,no,no,no,yes,yes ,DarkSeoul,Phishing,not applicable,Disk wipe,not applicable,not applicable,DarkSeoul,Integrity/Availability,destruction,no,unknown,750
2014-001,Sands Casino,2014,2,9,2014,2,10,2014,2,10,2014,12,12,Sands Casino,Iran-United States,latent,ideological,regional balance of power,Sands Casino,Iran,no,unknown,Anti WMD team,N/A,under development,13,49,26,no ,no,no,no,observer,no,no,no,yes,United States,no,Sands Casino,no,no,yes,no,Sheldon Adelson,no,no,no,yes,83,1,1,yes,yes,no,yes,no,no,yes,yes,yes,Sands Casino,unknown,not applicable,Defacement,Data destruction,not applicable,Sands Casino,Integrity/Availability,destruction,no,hours,40
2014-002,Sony Pictures Entertainment,2014,9,unknown,2014,11,21,2014,12,16,2014,11,25,Sony Pictures Entertainment,North Korea-United States,frozen,ideological,regional balance of power,Sony Pictures Entertainment,North Korea,no,unknown,Lazarus Group,Jin Hyok Park,yes,not available,151,99,no ,no,no,no,no,no,no,no,yes,United States,no,Sony Pictures Entertainment,no,no,yes,no,no,Media,no,no,yes,83,1,1,yes,yes,no,yes,no,no,yes,yes,yes,Sony Pictures Entertainment,Phishing,not applicable,Disk wipe,not applicable,not applicable,Sony Pictures Entertainment,Confidentiality/Integrity/Availability,destruction,no,hours,15
